Link, Anchor Text
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151021.tsv.gz", blockchair_ethereum_blocks_20151021.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151022.tsv.gz", blockchair_ethereum_blocks_20151022.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151023.tsv.gz", blockchair_ethereum_blocks_20151023.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151024.tsv.gz", blockchair_ethereum_blocks_20151024.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151025.tsv.gz", blockchair_ethereum_blocks_20151025.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151026.tsv.gz", blockchair_ethereum_blocks_20151026.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151027.tsv.gz", blockchair_ethereum_blocks_20151027.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151028.tsv.gz", blockchair_ethereum_blocks_20151028.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151029.tsv.gz", blockchair_ethereum_blocks_20151029.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151030.tsv.gz", blockchair_ethereum_blocks_20151030.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151031.tsv.gz", blockchair_ethereum_blocks_20151031.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151101.tsv.gz", blockchair_ethereum_blocks_20151101.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151102.tsv.gz", blockchair_ethereum_blocks_20151102.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151103.tsv.gz", blockchair_ethereum_blocks_20151103.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151104.tsv.gz", blockchair_ethereum_blocks_20151104.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151105.tsv.gz", blockchair_ethereum_blocks_20151105.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151106.tsv.gz", blockchair_ethereum_blocks_20151106.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151107.tsv.gz", blockchair_ethereum_blocks_20151107.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151108.tsv.gz", blockchair_ethereum_blocks_20151108.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151109.tsv.gz", blockchair_ethereum_blocks_20151109.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151110.tsv.gz", blockchair_ethereum_blocks_20151110.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151111.tsv.gz", blockchair_ethereum_blocks_20151111.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151112.tsv.gz", blockchair_ethereum_blocks_20151112.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151113.tsv.gz", blockchair_ethereum_blocks_20151113.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151114.tsv.gz", blockchair_ethereum_blocks_20151114.tsv.gz
"https://gz.blockchair.com/ethereum/blocks/blockchair_ethereum_blocks_20151115.tsv.gz", blockchair_ethereum_blocks_20151115.tsv.gz
